cisGene.Symbol,transGene.Symbol
TSPAN15,SETD1B
IMMT,CAPZA2
ADAT1,LINC00969
FAM182A,RP11-864N7.2
ATF7IP2,AC022007.5
RP11-457M11.2,
KDM1B,APCDD1L-AS1
SPATA5L1,RP11-532F6.3
ITGA7,RPS6KA3
METTL21EP,ZNF28
RP11-798G7.5,FMNL1
ANKRD23,ZNF808
TRAP1,
MCF2L-AS1,MYCBPAP
GLIPR2,NUFIP2
TMEM135,PIR
CCHCR1,RP5-855D21.3
CDC34,DHX16
IL10RB,RP11-119K6.6
PPIL3,RASA4
TNNT3,MYL1
C6orf141,RP1-74M1.3
ZNF519,TXNL1
DENND2C,CACNA1F
DNAJC13,DNAJC24
PDS5A,FBXW11P1
RP11-179B2.2,FITM1
HLA-DQA2,TSPAN33
GAREM,PLCB1
MED24,ADARB1
AP000473.8,PREB
FAM83H,RNPC3
RP11-12C17.2,RP5-1074L1.1
ZC3HAV1,BAK1
RP5-837J1.4,ZNF559
LRRCC1,AP001172.2
MAPK13,CYP4F25P
B3GALT1,
FABP3,CTC-459F4.6
SLC2A8,USB1
MED16,VAMP1
TMEM18,HSF1
FAM131C,ACPP
RP11-862L9.3,MOBP
MBP,MOBP
MGMT,
LHPP,C2orf82
ADCY10P1,ATG9A
RP11-375I20.6,AC128709.1
LINC00672,XKR7
RP11-540B6.3,CTB-113P19.4
GSTO2,ADA
RPS18,
FAM212A,INIP
RPS28,AC018738.2
RPSA,RPSAP19
RPS28,RPS28P7
AGAP8,AGAP4
EIF3F,EIF3FP3
DHFR,DHFRP1
RPSA,RPSAP15
PIGN,TALDO1
ABCC6,PKD1P5
BAK1,BAK1P1
PSMB10,CTSS
CLEC18A,NPIPB15
AGAP7,CTGLF11P
ZNF530,RELL1
RPS27L,TNNI3
RP13-98N21.3,ADAMTS7P4;RP11-561C5.5
RP11-152H18.3,USP35
WFDC3,CD46
TMEM50B,DRD5
CANX,PTDSS1
COX11,MTRNR2L4
GBAP1,IGDCC4
RP13-98N21.2,ADAMTS7P4;RP11-561C5.5
CYSTM1,
RP13-497K6.1,PDLIM5
LINC01273;RP11-112L6.4,BAD
ARL17B,RP11-798G7.8
CAPRIN2,P4HTM
GOLGA6L4,NDRG2
VPS11,ITK
HSD17B12,CACNG2
AC068282.3,KCNQ3
MALT1,PTER
SLC40A1,CRYBB2
WDR11-AS1,WDR78
CTD-2248H3.1,CTD-2562J17.7
WIPF1,
CWC15,RP11-379K22.2
E2F1,AP000320.7
RP13-98N21.3,GOLGA6A
TIMM13,CYC1
ALMS1P,LA16c-390E6.5
SLC1A7,BMP1
SUSD4,
TRIB3,NDUFV2P1
RP11-461O7.1,SUGT1
SYCE3,WISP2
DUTP6,RP11-584P21.2
RP11-147I3.1,AKR1E2
AC034220.3,TMEM14C
U73166.2,GPX1P1
PTCHD3P1;SVIL-AS1,
MRPL34,CNTD1
INTS1,PFAS
LSG1,RP11-561O23.7
SFXN4,WNT8A
COQ3,KCND2
ANO5,DZIP3
WDR11-AS1,EPHB3
VPS53,ZRANB2
C15orf57,TMEM232
SEC22C,PABPC4
HEXDC,RP11-798M19.6
HSD17B12,ASXL1
BMP8A,VPS35P1
GFM2,GDAP1L1
RP11-469N6.1,ARHGAP35
EMC4,TEX2
MRPS21,RAP1A
ATP6V1C2,KBTBD3
LINC00240,THADA
NME9,QTRTD1
STMN3,TUBAL3
FAM200B,RN7SL6P
RP4-635E18.7,DHX58
DFNA5,INPP5J
SNX16,IGSF3
RP11-421M1.8,NOV
RP11-312J18.5,CCZ1B
KANK2,HEY2
PI4KAP2,ZNF599
ATAD3C,MSTO1
COQ3,AC018766.4
SLC25A27,PRKD1
MRPL28,STX18
GAS2L1,GMFB
CDH3,RP11-705C15.2
02-Sep,OSBP
NT5DC3,ALDH1L1
WNT2B,MCU
PRSS3,LYRM4
DRG2,C10orf10
NEXN,S100A11
RP1-179N16.6,ANGPT4
LINC00899,TNRC6C-AS1
RPL12,RPL12P16
DBF4B,DPP4
FAM182A,GPN2
FLT3,SUMF2
RP4-758J24.5,
RNF26,HCG4P11
PPP1R2P5,KBTBD11
RP11-798G7.8,
RP11-1246C19.1,LHFPL4
CD6,RP11-182J23.1
POP5,KIF2A
AC108488.3;RNASEH1-AS1,RP11-156K13.3
HLA-DMB,ARHGAP4
HLA-DMA,ARHGAP4
SMOC2,ARHGAP19
KNOP1,FRG1JP;RP11-764K9.4
HMGB1,
WNT2B,UBXN10
RP13-497K6.1,PTRF
RP11-766N7.3,CFL2
CTD-2313N18.5,FABP5
ALDH2,OSBPL8
CDKL2,PLOD3
THAP5,ACADSB
RAB36,SLC23A2
LINC00326,RP11-251G23.2
MSRA,NSF
GTF2H1,
RNASEH2B-AS1,REN
KB-1125A3.11,VAC14-AS1
SNX19,WAS
ADARB1,ZNF767;ZNF767P
ZNF534,CAV2
RP4-717I23.3,SMOC1
SLC25A51,MOB3C
PRR15L,PIGR
RIBC2,ARHGAP11B
XXyac-YX65C7_A.2,ALDOC
GFM2,HNRNPA1P38
CHD1L,PEX1
PLA2G3,BOP1
RP11-635N19.1,ACOT13
RP11-296I10.6;SMG1P7,hsa-mir-6080
GAP43,HSPA13
ABCC8,SLC4A4
HLA-DMB,CD68
HLA-DMA,CD68
SNAPC5,CTD-2256P15.1
CCDC154,CSNK2A2
AC091729.9,PLOD3
TTC27,FAM189A1
MRPS21,MAP3K5
COPS2,VPS45
LINC00899,TP53TG5
BMS1,KCNE2
FLT3,TMEM55B
LINC00967,DOLK
CABIN1,SLC30A6
KANK2,MT1H
RP11-667M19.9,PCDHGA1
SLC5A4,PEX5L-AS1
ACACB,CACNA2D1
SLC25A24,TMC8
URB1,ACTR10
MGAM,POLQ
GS1-124K5.11,RP11-895K13.2
AL133481.1,HFE
TMEM59,RASSF7
TMEM106C,
CHCHD2,TRIM7
CBX2,UNC93B3
H3F3A,ZMYM4
WFIKKN1,AC142528.1
snoU13,CTC-429P9.2
LPIN1,CACNA2D2
LRRC4B,MEA1
MRPL35,RP11-674N23.4
HMGB1P31,ANKRD18B
ZNF623,RP11-1055B8.4
RP11-473M20.14;ZNF213-AS1,SDCBP2-AS1
AC024560.3,AZI1;CEP131
THNSL2,ANKRD22
MALT1,CAMK2D
AC006538.1,SLC2A4
YES1,GS1-293C5.1
RPS28,AC018738.2
AGAP8,AGAP4
FAM21A,
LRRC37A2,LRRC37A4P
RNF5,RNF5P1
THOC3,RP11-423H2.1
LRRC37A2,RP11-707O23.5
DHFR,DHFRP1
HIST2H2BA,NBPF14
RPL12,RPL12P4
RPL12,RPL12P16
ANKRD20A7P,
ZFAND1,PCDHB16
ZCWPW1,CD101
AGAP7,CTGLF11P
CECR7,FAM162B
MZT2A,AC018804.6
BCO2,SMS
DHRS1,TNIP3
AIRE,FAM135B
TTC32,NUDCD2
RP11-307C18.1,CYP17A1
CACNG3,RAP1GAP
SHQ1,RAE1
MED30,ARHGEF6
PLEKHH3,MTMR2
RP11-473I1.10,PDRG1
MIR7-3HG,KLHL7
C10orf11,EIF4E3
TPGS2,PQBP1
LCN15,RAC1P2
CACNG3,MT1X
PEX5,ZC3H7A
DSTYK,GNPNAT1
DR1,HAPLN4
CRYGEP,TIMM8AP1
CACNG3,RP11-343H19.2
TRIM51FP,LINC00925;MIR9-3HG
C11orf80,CTC-459I6.1;RASGRF2-AS1
SUMF1,XRCC6P2
MRPL23-AS1,TMEM201
TFG,RP11-157P1.4
ABHD11,LAS1L
CHCHD2,CHCHD2P9
AC140481.7;FAR2P3,
RP11-344E13.4,RP11-353N4.6
TRAC,CTD-2517M22.14
H3F3A,RP11-402J6.3
RPL31P54,SPDYE3
RP11-421M1.8,AP000240.9
HSD17B12,ANKRD13A
PRKXP1,NLRC4
LINC00493,PSMD11
RP4-717I23.3,LMBR1L
NOMO3,PKD1P5
C21orf119;URB1-AS1,MPZL1
LINC00702,PA2G4
VWA5B2,MYRIP
TUFM,SIX5
RP11-17E13.2,TMEM170A
AP006621.5,SH2B1
TBX6,RP11-1415C14.4
CPSF1,DOLPP1
TRHDE-AS1,SPRTN
FAM57A,PRRG3
TNNI1,MYH1
GPNMB,UBN2
BMS1,FAM156B
C12orf60,
RP11-248C1.3,SCAND2P
CIAO1,LMO3
LINC00641,OLFML2B
RP11-670E13.2,ZFPL1
MRPL21,LNPEP
EIF4A2P1;RP11-773H22.2,RP11-429J17.7
BTN2A2,LRRC37A17P
GSTP1,S100A4
NRBF2,EGFR-AS1
BCR,BCRP2
CDH3,ARID4A
NARFL,DDX39B
GAPDH,TBC1D16
CTD-2006C1.2,RGMB
CCDC41;CEP83,HMGB3
RP1-130H16.16,CTD-3184A7.4
PPP1R2P5,SLC22A14
RP11-535M15.1,COQ10B
AC073641.2,RP11-231C18.1
ZNF529,FNDC3B
DR1,ANKRD36BP2
AC012309.5;LINC01535,LINC00665
RP11-379F4.4,ELMOD1
RP11-161M6.2,FBXL19-AS1
PEX5,CCND2-AS1;RP11-264F23.3
CTD-3025N20.2;LINC01299,TMEM131
RP11-13K12.5,RP11-66B24.4
RP11-13K12.1,RP11-66B24.4
LMAN2,CTC-308K20.3
C1orf159,RABL6
RP11-54D18.2,CPNE4
RP11-504P24.8,DGCR11
RP1-199J3.5,TNFRSF11A
AC108488.3;RNASEH1-AS1,LAPTM5
CYP4F24P,SRP68
SMTNL1,GPBP1L1
SFXN4,YY1
TFAM,SUN1
PLA2G4C,SDC3
CTB-109A12.1,FAM173B
CTA-212D2.2,TP53INP1
RCCD1,ANO10
RPS27L,RP11-111A22.1
VPS11,RP11-700J17.2
RP4-782G3.1,
DLD,C11orf58
AC140481.7;FAR2P3,FSTL5
UFSP2,GRIN1
SPARCL1,TUT1
MBLAC1,FJX1
DLD,AK9
CTD-2583A14.8,CHMP1A
ANKMY1,IGFBPL1
ABL2,CACNA1H
RNF216P1,TRMT112
CACNG3,FREM3
SPTBN5,WDR34
DGCR9,ZNF324B
ZKSCAN8,LMAN2
SNORA21,RBM4B
GOSR1,UBE2E2
DSCC1,HBE1
CD6,ACP5
FAM213A,SLC4A8
RP11-457M11.5,PTGES3P2
VPS28,USP38
RP11-195E2.4,OCLN
AP006621.8,RP11-80H5.5
TFAM,IL1RAPL2
SLC40A1,OTUD3
CIAO1,LINC01018
VIPR2,RP11-58A17.3
LEPREL1-AS1;P3H2-AS1,CTB-31O20.6
ZNF529,KXD1
CD59,IQGAP1
PGPEP1L,ING1
CYP26C1,
RPS28,AC018738.2
RPS28,RPS28P7
KANSL1,
ATP6AP1L,AURKAPS1
ATG10,AURKAPS1
RP5-977B1.11,ACTA2
RPL12,RPL12P16
RPL31,ORAI3
RP5-977B1.11,ACTA2-AS1
TIPRL,SLC25A4
ADAMTSL2,TINAGL1
EEF1A1P19,PAQR7
EIF4A2P1;RP11-773H22.2,RSL24D1P8
PSMD4,ZDHHC8
MYL9,ACTA2-AS1
BCR,BCRP2
MYL9,ACTA2
DDX11L2,
RPL23AP7,
EIF4E3,GPR142
OCEL1,SYNPO
GLYCTK-AS1,COMMD4
GLYCTK,COMMD4
RP11-307B6.3,GRINA
MYL9,LPP
STX3,RP11-94L15.2
MYL9,FLNA
ACKR2,STAT1
RPL12,RPL12P4
KRTAP5-AS1,VGF
AC002550.5,RP11-124N2.1
RP5-977B1.11,FLNA
RP5-977B1.11,TAGLN
PSMD4,PQBP1
CD151,KIF3A
AC021860.1,GABRA5
RPS18,
PGM5P4;RP11-395L14.5,AC002055.4;RPL23AP82
KLF3-AS1;RP11-617D20.1,NRIP1
TIPRL,MGAT5
GCDH,OR2L2
RP11-114H24.2,
CTD-2203K17.1,FZD8
PDCD6IPP2;RP11-578F21.12,RPL3
KANSL1,RP11-798G7.8
RPL12,NGFRAP1
CKMT2-AS1,LZTFL1
AC021860.1,NRIP1
RPS27L,
DPP8,KCNJ10
DAG1,MEF2D
YES1,STEAP2
C11orf80,
LARS2,HSD17B13
FMN1,LIMK2
TOP3A,NUP155
SERPINC1,MT1DP
AC011322.1;RPSAP69,CSRP1
CKMT2-AS1,FAM189A1
AC011322.1;RPSAP69,COL22A1
RP5-977B1.11,LPP
PYROXD2,C9orf89
NOS1,RCN1
NQO2,ANKMY2
AC114730.7,KLF11
ZNF138,FAM229B
TTC38,SLC7A2
PGM5P4;RP11-395L14.5,AP006222.1;RPL23AP21
COPS8,RP11-463J10.3
SEMA6A,PIEZO2
AC108004.3,IGHGP
PSMD4,NDUFS5
TOP3A,CACTIN-AS1
SLC25A27,RYR1
LINC00116,AC137934.1
RPL23AP7,AC002055.4;RPL23AP82
TMEM8B,MIER3
ZNF506,
ADHFE1,HMGB1P1
RPL36AL,HNRNPA3P10
CEP295;KIAA1731,RP3-449O17.1
RP11-843P14.2,KRT8P48
TVP23B,GALC
RP11-378A13.1,GPSM1
TTC17,MDM2
LSG1,RP11-141M3.5
SPATA20,NIPSNAP3B
RP11-463O9.9,TBR1
TTC38,NPTN
BX322557.10,TOP1
SNX20,SIRT1
JPH1,PLA2G4E
DDX42,AKT1S1
CEP295;KIAA1731,KLRD1
HFM1,RHOQP1
ZNF608,TXNL4B
SF3B2,MRPL43
RP11-506K6.4,SLC7A11
RP5-977B1.11,C6orf226
TRIM37,ANKRD32;SLF1
RP5-912I13.1,FAM118B
AC008060.7,FAM118B
RP5-977B1.11,TBX18
ATP6AP1L,SPINK5
DDX58,TAP1
ERAP2,F10
ZNF667,CTGF
KLHL24,KIF5A
AC007228.11,DTX2P1
RP11-529E10.6,RP11-1002K11.1
TUBE1,ST3GAL1
MCOLN1,WNT2B
LMOD1,GRINA
RP11-92G12.3,THG1L
TUBE1,CRHBP
RANBP3L,C4orf32
CTB-47B11.3,RP11-544A12.8
NKAIN1,AR
MYL9,TAGLN
TMEM161B-AS1,RP1-179N16.6
WIPF1,RP11-455F5.3
RPS28,AC018738.2
AGAP8,AGAP4
RPS28,RPS28P7
LRRC37A2,RP11-707O23.5
LRRC37A2,LRRC37A4P
KANSL1,
GUSBP3,RP11-195E2.4
RP11-195E2.4,GUSBP3
DHFR,DHFRP1
SLC15A3,RAB3D
RMI2,NKX2-8
RPS14,RP4-765C7.2
TUBA4B,CFAP45
AC004980.7,
GUSBP3,RP11-195E2.1
RP11-218C14.5,MAPRE1
RP11-195E2.4,OCLN
RP11-51G5.1,ICT1
RP11-689P11.2,SNORA62
C4A,CTF1
EFCAB2,AL122015.1
NKD2,HPSE
FLYWCH1,ARL4C
RP11-195E2.1,OCLN
GTF2H2,OCLN
PRPF4,TBCA
RP11-1055B8.4,CHPF
RRP15,RPL39P34
ATIC,CDHR4
SUMF1,SDAD1
SEH1L,GRIA3
KANK3,PTPRB
UNC119,SPATS2L
RP11-274B21.9,CICP5
AC005154.6,ZNF610
RP11-624M8.1,
MIR1307,MRC1
KANK3,CD34
SLC35F2,SEC13
KANK3,CFH
RP11-1101H11.1,BVES-AS1
LLPH-AS1;RP11-745O10.2,PGM2L1
HIST2H2BA,NBPF14
LLPH-AS1;RP11-745O10.2,AC074091.13;LINC01460
MX1,IFI44L
SLC9A3,TEKT1
PDE4B,CEP112
MX1,STAT1
SNX31,AC009133.12
RP11-497H16.2,RPL37
UHRF1BP1,FSBP
RPL12,RPL12P16
PYCR1,VSX2
SLC15A3,RAB40B
GTF2H2,TBC1D22B
WARS2,CCBE1
CPSF1,KRTAP5-8
RTN4,GS1-166A23.1
MX1,PARP14
ALDH16A1,RP13-131K19.1
WNT3,CLEC1A
EP400NL,MIR100HG;RP11-820L6.1
TRMT44,SNORA62
FTSJ3,RP1-18D14.7
TMEM80,C5orf38
LINC01137;RP11-422J8.1,FAM195A
02-Mar,HNRNPK
DGCR11,TMED1
AC068282.3,ARHGAP30
RP5-874C20.3;ZSCAN26,SIPA1L1
RPP25L,CYP2U1
OTX1,POU3F4
ITGB3BP,ATG101;C12orf44
RDM1,GSTM3
RP11-195E2.1,GUSBP3
RP11-15A1.7,ERCC5
FRA10AC1,HNRNPF
ACOT1,LINC01201
AP006621.5,
HEATR3,SCARNA12
DNTTIP1,GEMIN2
SPG7,FANCL
LL22NC03-86G7.1,USP46
SEH1L,LIN7A
NDUFA10,ATP6V1H
ARPP19,ORC3
DDX11L2,KCNQ1
CTD-2651B20.3,ZNF229
DNTTIP1,RP11-486F17.1
AC138783.12,AC003075.4
AGA,BRSK1
RP11-275H4.1,TSPAN1
METTL18,AC007563.3
THAP7-AS1,MAP1LC3B2;RP11-809C9.2
GDA,ZNF831
SESN3,LUZP1
RP11-147I3.1,DIP2B
ASCC1,
CYP4F32P,DENND1B
UNC119,CACNA2D2
HLA-C,AC073343.13
CTD-2054N24.2,FAM114A2
CYP21A1P,CTF1
RDM1,RP4-735C1.4
RPS28,AC018738.2
EIF3F,EIF3FP3
RP11-958N24.2,PKD1P5
AC005363.9,RP11-364L4.1
MXD3,AC016734.2
THOC3,RP11-423H2.1
APIP,RP11-196I18.3
FAM106A,USP32P1
RPS18,
VKORC1L1,ZRANB2-AS2
PDE9A,DIP2C
GTF2H2B,GTF2H2C
GTF2H2,GTF2H2C
TRAC,RP11-96H17.1
DSTYK,
RP11-98I9.4,TRIML2
ALG1L11P,FAM66A
CTD-2054N24.2,GJB2
LRPPRC,DVL1
WBSCR27,HTR7
RP11-81A22.5,GOLGA8B
RPL12,RPL12P16
GLTPD2,FGF22
OVOL1,RN7SKP276
PNKP,RP11-46J23.1
MAP1LC3A,SLC25A48
RP11-958N24.2,NPIPA8
AP001468.1,TRIP13
RP11-293A21.1,R3HCC1L
TAP2,ZNF790
PACRGL,CPEB1-AS1;RP11-752G15.3
UBXN8,NSMF
RP11-256I23.3,BHLHE40-AS1
RP11-375I20.6,CCPG1
RP11-379F4.8,ZNF205
NSFP1,FBXO2
RP11-92A5.2,RP11-62H7.2
RP11-69E11.4,ZBTB40
C14orf142,FHOD1
RP11-338N10.1,UPK3B
MIR1307,DAXX
C14orf142,AATF
CLDN15,RP11-732A19.6
PINLYP,METTL23
MAEL,VN1R87P
ST8SIA5,LINC00462
CPSF3L,HADH
ZNF667,SNHG9
RP11-458D21.1,UBXN2A
MORN4,SEPT7P6
ALG1L11P,RP11-351I21.6
RP11-958N24.2,
LRRIQ3,CROCCP2
ZNF273,LRIG1
SAP30BP,PRELP
HLA-DPB1,WTAP
GNAZ,B4GALT2
HBS1L,RP11-804A23.4
NOS2P3,CTD-2184D3.6
RP11-338N10.1,RP11-727F15.11
LDLRAP1,STYX
FAM182A,CCNA1
RP11-702H23.6,CORO7
RP11-134K13.4,ZNF781
AC104135.4;LINC01293,FBXW12
ATP5J2,MT-CYB
L3MBTL2,RP11-23P13.4
OR7D2,CLDN11
CTC-467M3.3,NFE2L3
CTSB,TRMT61B
IPO5P1;RP11-15H20.5,N4BP3
KNOP1,C19orf40;FAAP24
RP11-108K14.4,RP11-63L7.5
RPL28,CNN2P3
RP13-401N8.3,ENPP7P2
EIF3F,SMO
TTC32,EGR3
LINC01597;RP4-610C12.4,AL139147.1
CCDC127,RP5-902P8.12
LRPPRC,IL18RAP
AC024560.3,ZC3H13
RP4-635E18.7,KIAA1191
RP11-5P18.10,MIS18BP1
FAM131C,MIS18BP1
C9orf156,ACADM
AC002550.5,PANK4
KNOP1,PANK4
TRGC1,SPATA17
ARL3,CRTC1
RP11-689P11.2,H2BFM
PAK6,RP11-29G8.3
TENC1;TNS2,AFAP1L1
GLTPD2,TPGS1
ZNF749,
TEX14,DEAF1
RAB40C,NADSYN1
NBPF3,LINC01331
CSDC2,MIR4658
ANKRD20A11P,RP11-46F15.2
DPM2,RP11-680C21.1
TDRD6,FAM221A
TOP3B,MSN
GTF3A,DYNLRB1
NBPF2P,LINC01331
RP11-127I20.5,EXTL3-AS1
AC012360.4,C1orf192;CFAP126
COL6A1,FAM53A
POLR2E,LAMA3
LRRK2,RP1-234P15.4
GLTPD2,MRPL41
TYW1,PRPF3
HSPA1B,NFIA
GPR12,FBXO34
OVOL1,WNT1
ABHD12,EXOSC5
FAM182B,ZFAND3
CECR7,RP1-153G14.4
IGIP,SRSF4
RP13-198D9.3;YWHABP1,ELOVL3
RP3-402G11.26,ATXN1
CASP7,
KLHDC4,CNFN
CEP19,CDKL3
YWHAZ,CFAP99;RP11-503N18.3
HYAL3,ATF7
AMY2B,RP11-625L16.3
LRRC37A2,DLEU1
RP4-564F22.5,RCE1
NSA2,SLC25A38
CTC-360G5.9,KIF18A
AAMDC,NLGN2
VPREB3,VPS35P1
AC005532.5,RP1-124C6.1
NPIPA5,CES5AP1
RHD,LGR6
YTHDF3-AS1,WWC1
AK8,RP4-610C12.3
CD83,DNAL4
RP11-488L18.10,C1orf63;RSRP1
ATP5SL,TMEM198B
SLC30A9,PDE4B
TPTE2P3,TMEM119
SLC25A27,ACTR3B
ARHGEF7,RLF
HLA-DQB1,TMEM18
RP11-10A7.1,AC034193.5;EMC3-AS1
RPS28,AC018738.2
CTD-2303H24.2,USP32P1
RPS28,RPS28P7
FOLH1,FOLH1B
RP11-296I10.6;SMG1P7,CSRNP3
EIF3F,EIF3FP3
THOC3,RP11-423H2.1
MZT2A,AC018804.6
RP11-497H16.2,RP11-195E2.4
DHFR,DHFRP1
LDHC,LDHAP4
SYT4,RANBP9
RP11-797H7.5,AC092171.4
EXOSC6,CSRNP3
RP11-29G8.3,RP11-236J17.6
AGAP7,CTGLF11P
RP11-958N24.2,PKD1P5
RP1-90J20.11,STARD10
ATHL1,TRIM59
TBC1D9B,LEO1
RPL12,RPL12P4
ATP5G3,RP11-506M13.3
BTN3A1,GPR85
LY6G5C,LINC00463
HSD17B12,ZNF470
EXOSC6,TRIQK
RPS18,
OXTR,KCNMB2-AS1
TRIM63,RP11-757G1.6
INTS1,CTD-2083E4.5
FLVCR1,SEC61B
PDXDC2P,CSRNP3
RP11-1055B8.4,SMARCD1
HLA-DRB5,CTD-2193P3.2
CLDN4,SLC16A12
GS1-124K5.12,EFNA4
H3F3A,H3F3AP4
GLB1L,CTB-187M2.2
LURAP1L,ANKRD65
CIB2,STON1
RP11-195E2.1,OLAH
USP33,C14orf159
B3GNTL1,RP11-379F4.9
MAN2C1,RP11-381K20.2
KCNE3,SYNJ2BP-COX16
AK5,C14orf159
RP11-469N6.1,TRIM60P18
LSG1,BCLAF1
CALHM1,ADCYAP1
C6orf3,PXN-AS1
KCNE4,NEK9
ANO9,CPB2
C2orf43;LDAH,BCL6
RP11-299J3.8,TMED4
SLC2A1-AS1,PEG3
RP11-958N24.2,
SPATA5L1,NT5DC2
FOXRED1,DTX3L
CRYM,AC005009.2
ANKRD18CP,BBOX1
RP11-958N24.2,NPIPA8
ZKSCAN8,NFYA
TRIM4,EGLN1
ELAC2,STAG3L5P
GSAP,RP11-568K15.1
ABCC4,PIGB
RP11-638I8.1,CHCHD3
RPL12,RPL12P16
RP11-46C24.7,
NUDT18,ECE1
RPL36AL,RP1-193H18.3
COG4,MRPS34
DMAP1,AF129075.5
RP11-195E2.1,OCLN
TRIM63,FER
AC103965.1;GOLGA2P7,SRRM2
SLC47A1,MIS12
AC002550.5,ZNF280D
HAGH,SLC6A16
SCG3,FZD4
SLC2A8,HS3ST3B1
12-Sep,DDX50
C9orf156,TNRC6C
ECI2,PYGB
LIG3,CHMP3
AC091814.2,AC013268.5;LINC01123
RP11-115H18.1,EFNB1
PEX7,AKIRIN1
BTN3A1,GJB1
SLC25A24,TBC1D3F
TRPM1,STXBP4
ADAMTS18,RP11-298I3.1
LINC00202-1,MYRFL
LDHC,RP11-304L19.4
CD38,DPYSL3
METTL18,ATP6V1F
C7orf50,COPRS
SUPT4H1,KCNH1-IT1
MPHOSPH6,RP11-206L10.1
RP11-457M11.5,RIOK2
TTC32,IBA57
TMEM50B,DTYMK
LIG3,HSD11B1L
SUPT4H1,ACKR4
C6orf3,AC011526.1;PCAT19
CTA-212D2.2,AP001816.1
INTS4L1;INTS4P1,HECA
CRHR1-IT1,RP11-383J24.6
RP11-1002K11.1,
NRG1,
RP11-1060J15.4,ABCC11
AC069513.4,TRMT12
AC004840.9,NWD1
LEMD2,GOLGA2
TNKS2-AS1,AC008746.3
CIRH1A,ACTR1A
COL6A4P2,CH25H
12-Sep,SOX13
OXA1L,C9orf170
AC007970.1;LANCL1-AS1,REG1A
ZSCAN23,CTD-2561J22.5
RP13-685P2.7,KLK14
RP11-384K6.2,PPP6R1
SLC44A3,TARBP1
RPS28,AC018738.2
RPSA,RPSAP19
RPL13,RPL13P12
RPS14,RP4-765C7.2
RPS14,
KANSL1-AS1,LRRC37A4P
RPS2,RPS2P5
RP11-259G18.2,LRRC37A4P
AC018638.1,CICP13
RP11-274B21.1,CICP13
RP11-274B21.2,CICP13
KANSL1-AS1,DND1P1
FAM21A,
RP11-259G18.2,DND1P1
KANSL1,
RPS2,RPS2P46
RP11-798G7.8,
ZNF322,ZNF322P1
EIF3F,EIF3FP3
RP11-423H2.1,THOC3
EIF3F,
AC018638.1,CICP5
RP11-274B21.1,CICP5
RP11-274B21.2,CICP5
RP11-274B21.4,CICP5
RP11-457M11.2,ZNF322P1
RALGAPA1,RALGAPA1P
RP11-274B21.9,CICP13
RP11-274B21.3,RP11-261C10.7
AC018638.1,RP11-261C10.7
RP11-274B21.1,RP11-261C10.7
RP11-274B21.2,RP11-261C10.7
RP11-274B21.4,RP11-261C10.7
GOLGA6L4,GOLGA6L10
RPS18,
RPL12,RPL12P16
RP11-212P7.2,CICP5
RP11-274B21.1,LINC01347
RP11-274B21.2,LINC01347
RP11-274B21.4,LINC01347
HMGB1,HMGB1P5
MTRF1L,RP11-756P10.3
RP11-212P7.2,CICP13
RPSA,RPSAP15
RP11-274B21.4,CICP26
ARL17B,RP11-798G7.8
KANSL1,RP11-798G7.8
DHFR,DHFRP1
PYROXD1,RP11-819M15.1
CR848007.2,
RP11-958N24.2,NPIPA8
ANKRD20A7P,
RP11-318A15.2,
RPS13,RP11-159C21.4;RPS13P2
PLGLB1,PLGLA
RPL12,RPL12P4
RP11-274B21.3,CICP26
RP11-958N24.2,
ANKRD20A1,ANKRD20A2
AGAP9,RP11-144G6.12
RP11-274B21.1,CICP9
RP11-274B21.2,CICP9
FOLH1,FOLH1B
RASA4,RASA4CP
AGAP7,CTGLF11P
MXRA7,
AC092651.1,PLGLA
PLGLB2,PLGLA
PEX1,CAPN3
PDXDC2P,NPIPB15
RP11-958N24.2,PKD1P5
RP11-632K20.2,CTD-3092A11.1
PEX1,RP11-164J13.1
RP11-589F5.4,SMN2
ZNF598,RPS2P46
CICP14,CICP13
NDUFA6,SMAD3
RP11-274B21.4,CICP22
RP11-514P8.8,RASA4CP
MXRA7,RP11-159C21.4;RPS13P2
AGAP9,AGAP10;AGAP9
EIF4B,EIF4BP7
GPATCH2L,LINC01605;RP11-150O12.1
CDK10,MMP11
AC079776.2,KCNIP3
IFT52,MIDN
AC069213.1;MUC20P1,AC024560.2
FBXW4P1,BCRP2
AC005363.9,RPS2P5
RETN,HMGB1P5
AGAP8,AGAP4
RP11-592B15.4,AGAP4
MIOX,IGF1R
FAM170A,CTDNEP1
ARL17B,RP11-798G7.5
AC007566.10,ARRDC3
CENPBD1P1;RPL23AP79,AP006222.1;RPL23AP21
AC098820.2,SMAP1
XAB2,SPRY3
ASB4,ATL3
FANCA,DEGS2
MMP24-AS1,TTPA
OIP5-AS1,EMCN
LAMP5,NDUFS7
KIAA0247;SUSD6,CTD-2194A8.2
PCP2,SPRY3
LINC00969,AC024560.2
GTF2H2B,GUSBP3
DCAF16,TMEM81
AP001626.2,RP11-1100L3.7
TUBBP5,TUBB7P
RDH10-AS1;RP11-434I12.2,
CENPQ,ADAMTS9-AS2
C19orf69;ERICH4,AURKB
RP11-274B21.3,LINC00999
RP1-101K10.6,RP11-756P10.3
GOLGA8O,FAM225B
SRR,
RP11-379H18.1,EEF1A1P5
