cisGene.Symbol,transGene.Symbol
STAG3L1,STAG3L3
SERF1A,RP11-98J23.2
GTF2H2B,RP11-98J23.2
HLA-DRB6,HLA-C
RP11-347C12.1,RP11-166B2.1
RP3-523E19.2,MT2A
RP11-876N24.2,HLA-DOA
RHCE,ZNF490
FHOD1,ACTR1B
MAN2C1,ANKRD28
RPS3A,RPS3AP6
RP11-303G3.6,AC007875.2
RP11-195E2.4,OCLN
NAIP,OCLN
CLEC18A,NPIPB1P
PDXDC2P,NPIPB1P
GUSBP3,RP11-195E2.1
STAT2,
RP11-195E2.4,RP11-848G14.5
NAIP,RP11-848G14.5
RP11-379F4.7,XRCC6BP1
TTLL10-AS1,AL391319.1
RP11-141C7.3,AC024560.2
RPL18A,RPL18AP3
RAB34,CCDC77
POMC,LYAR
DECR2,AC013463.2
ZNF330,CTC-523E23.11
LINC00969,AC024560.2
UBE3B,CLASP1
LRRC1,MT2A
TRDMT1,LRSAM1
ADPGK,BLNK
RP4-549F15.1,RP11-386M24.4
RP11-316M1.12,BMP2
DHFR,CYP2F1P;CYP2F2P
GUSBP9,OCLN
ACTG1P17;RP11-752G15.9,HPR
CLEC18A,CTB-134H23.2
PDXDC2P,CTB-134H23.2
RER1,SNW1
GUCA1B,HSD11B1L
HAX1,LA16c-390H2.4
RP4-751H13.7,DSN1
FCHO2,RP11-226L15.5
ULK4P2,CHRNA7
RP11-1000B6.3,RP11-932O9.9
RP11-274B21.1,CTD-2021A8.2
FCHSD1,GPN2
RP1-40E16.12,TMED8
TMEM14C,AC133528.2
RP11-671M22.4,RP13-996F3.5
LY6G5C,KDM5B
RBBP4,ZNF787
AC011933.1,SF3A1
C19orf54,MAPK13
DNPEP,PTPRN2
CICP14,CICP22
RP11-274B21.3,CICP22
TTLL10-AS1,SMOC2
CEP85,CDKN2AIPNL
RP11-603J24.17,
GTF2H2,GUSBP3
RP11-448G15.3,ZDHHC13
BDH2,BDH2P1
ZBTB37,ANKS3
ULK4P3,RP11-632K20.7
NCKIPSD,GPX1P1
